feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
NEDD9	Bloody_Swab	Yes	1.65668488595935	0.693124966486577	0.0202297938546912	0.487674451543238	CPLM	1.149	58	16	72
KCTD12	Bloody_Swab	Yes	1.96640565437311	0.778757809733963	0.0144268932670109	0.487674451543238	CPLM	1.333	58	11	81
CCDC171	Bloody_Swab	Yes	1.24833516955213	0.526980356642598	0.0213179922614654	0.487674451543238	CPLM	1.148	58	17	71
RASSF4	Bloody_Swab	Yes	1.5570556325186	0.650425253423468	0.0200443114719433	0.487674451543238	CPLM	1.01	58	9	84
WDR78	Bloody_Swab	Yes	1.295831963572	0.518378694750835	0.0153835888146147	0.487674451543238	CPLM	1.465	58	27	53
EFCAB1	Bloody_Swab	Yes	1.21378741154041	0.477261659810925	0.0137724928485665	0.487674451543238	CPLM	1.336	58	23	60
DNAJA1	Bloody_Swab	Yes	0.685725048327705	0.280045779974858	0.0174974734347646	0.487674451543238	CPLM	1.29	58	49	16
TNFAIP8L1	Bloody_Swab	Yes	1.18745240439269	0.493319451484422	0.0194030059314623	0.487674451543238	CPLM	1.398	58	25	57
C9orf116	Bloody_Swab	Yes	1.15172144703818	0.48195152689632	0.0202529231710597	0.487674451543238	CPLM	1.436	58	27	53
ANKRD37	Bloody_Swab	Yes	1.13108512412814	0.46154528659376	0.0174088265401666	0.487674451543238	CPLM	1.204	58	25	57
WDR63	Bloody_Swab	Yes	1.19601104605171	0.484781705224495	0.0167048378923724	0.487674451543238	CPLM	1.171	58	22	62
FAM161A	Bloody_Swab	Yes	1.269031537602	0.531638380058954	0.0203872355133039	0.487674451543238	CPLM	1.209	58	22	62
NME5	Bloody_Swab	Yes	1.40374256140837	0.585921365276627	0.0199514337673393	0.487674451543238	CPLM	1.37	58	25	57
TCTEX1D2	Bloody_Swab	Yes	1.19981692589763	0.499937285343012	0.0197481384958655	0.487674451543238	CPLM	1.192	58	25	57
LRRC34	Bloody_Swab	Yes	1.23629704784021	0.510585549624129	0.0187287448572187	0.487674451543238	CPLM	1.144	58	17	71
SRD5A2	Bloody_Swab	Yes	1.27549706876007	0.532851603905966	0.0200534550326823	0.487674451543238	CPLM	1.235	58	20	66
PRUNE2	Bloody_Swab	Yes	1.31297360649237	0.546470204193756	0.0196163539769758	0.487674451543238	CPLM	1.194	58	15	74
C10orf67	Bloody_Swab	Yes	1.31276739088316	0.549409107296783	0.0202672503964662	0.487674451543238	CPLM	1.184	58	17	71
CTNNAL1	Bloody_Swab	Yes	1.33993076379134	0.557540867611403	0.0195852149480096	0.487674451543238	CPLM	1.282	58	23	60
TAOK1	Bloody_Swab	Yes	0.829164351696039	0.3451825496826	0.0196425811584121	0.487674451543238	CPLM	1.141	58	40	31
SMPD3	Bloody_Swab	Yes	1.21564841328269	0.501109279637192	0.0185166483444343	0.487674451543238	CPLM	1.01	58	21	64
NAV2	Bloody_Swab	Yes	1.33715033437405	0.528494634221248	0.0142420657727274	0.487674451543238	CPLM	1.21	58	23	60
DCBLD2	Bloody_Swab	Yes	1.06283600961665	0.448532739337942	0.021279454693671	0.487674451543238	CPLM	1.116	58	25	57
