feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
CYP4B1	sex	male	-0.197819763152079	0.342646973110481	0.566031731885798	0.897110792174895	CPLM	1.573	58	38	34
INPP5D	sex	male	-0.444142360604427	0.769647202243804	0.566203147767336	0.897110792174895	CPLM	1.101	58	6	90
ASCC3	sex	male	0.204282701997084	0.353431021493943	0.56558203962245	0.897110792174895	CPLM	1.01	58	30	48
TUBGCP6	sex	male	-0.261881219102555	0.454600297779061	0.566876518143508	0.897585627277986	CPLM	1.01	58	19	67
B3GNT3	sex	male	0.169343108078465	0.295191710455693	0.568486943344462	0.898950387039762	CPLM	1.155	58	24	59
RAB21	sex	male	0.193282901780564	0.336844858322254	0.568398019231616	0.898950387039762	CPLM	1.164	58	29	50
MTRNR2L3	sex	male	-0.424215455718435	0.741450968992994	0.569515362411372	0.899452546187312	CPLM	1.01	58	26	55
PATL2	sex	male	-1.05969539205886	1.85233673930093	0.569553423293465	0.899452546187312	CPLM	1.01	58	19	67
KCNK6	sex	male	0.608268019164009	1.06738297705349	0.571046031486165	0.899474861487402	CPLM	1.351	58	21	64
CFAP99	sex	male	-0.297077596937955	0.521335306437857	0.571065430378138	0.899474861487402	CPLM	1.217	58	17	71
FAM229B	sex	male	-0.210099296428079	0.367898934254057	0.57023102997237	0.899474861487402	CPLM	1.411	58	25	57
PIBF1	sex	male	-0.207403041685255	0.363886671249561	0.570980384665428	0.899474861487402	CPLM	1.282	58	23	60
GAN	sex	male	0.275049898309812	0.483261737439011	0.57152813329146	0.899613745849335	CPLM	1.488	58	27	53
TFF3	sex	male	-0.404920745205871	0.713488564978544	0.572627587382854	0.90011565703495	CPLM	1.44	58	15	74
TAF1D	sex	male	0.210086026368808	0.370552486585468	0.573011411745722	0.90011565703495	CPLM	1.185	58	37	36
PLCB2	sex	male	-0.406300738880109	0.717376056254307	0.573404769147413	0.90011565703495	CPLM	1.321	58	11	81
PARP14	sex	male	-0.138435085095798	0.244346850035741	0.573282667940134	0.90011565703495	CPLM	1.221	58	44	24
SNHG15	sex	male	1.18549187259759	2.09486876140515	0.573720678984391	0.90011565703495	CPLM	1.01	58	6	90
S100A16	sex	male	0.181265829072404	0.321267670249614	0.57485696190476	0.90030322393868	CPLM	1.383	58	30	48
AC006064.4	sex	male	-0.461642747727741	0.816834584046441	0.574221812810706	0.90030322393868	CPLM	1.169	58	17	71
IL1R1	sex	male	0.22369192364794	0.39657385043938	0.574964673406301	0.90030322393868	CPLM	1.391	58	26	55
EMP1	sex	male	0.364890314402852	0.648757193331721	0.576057480246821	0.9014267541061	CPLM	1.668	58	22	62
MTND3	sex	male	-0.144948168148517	0.258542005345436	0.577281449080963	0.902381210110077	CPLM	1.588	58	50	14
DNAI2	sex	male	-0.242667175322327	0.432998638156638	0.577418784321061	0.902381210110077	CPLM	1.218	58	21	64
CHORDC1	sex	male	0.242237283487755	0.432803993299302	0.577920915537916	0.90257869903906	CPLM	1.141	58	24	59
ZFP36L2	sex	male	-0.17487477437106	0.31292244991444	0.578496314367526	0.902890284022611	CPLM	1.235	58	30	48
NSD1	sex	male	0.144119423703516	0.258726774352095	0.579724301293518	0.904219332277292	CPLM	1.167	58	31	47
NLRC5	sex	male	-0.296676243547064	0.535341962425125	0.581661522204211	0.90547697753371	CPLM	1.01	58	23	60
TPD52L1	sex	male	-0.331403297351817	0.59769205865614	0.581463866045277	0.90547697753371	CPLM	1.26	58	20	66
DENND3	sex	male	0.363077772142712	0.655020731817057	0.581580742743021	0.90547697753371	CPLM	1.01	58	13	78
SERPINB3	sex	male	-0.264450294703202	0.484586660571251	0.587423450954941	0.905871228338381	CPLM	1.533	58	19	67
TFCP2L1	sex	male	0.458784165615128	0.837184807487687	0.585864166540524	0.905871228338381	CPLM	1.546	58	20	66
OXTR	sex	male	-0.340898823061617	0.632800784176995	0.592219173770894	0.905871228338381	CPLM	1.427	58	11	81
KIAA1551	sex	male	-0.214027490819102	0.388839507177355	0.584216084664387	0.905871228338381	CPLM	1.423	58	35	40
AKR1B10	sex	male	0.309518635096471	0.562348329401182	0.584231436093326	0.905871228338381	CPLM	1.54	58	23	60
PFN1	sex	male	-0.166719833055425	0.307708315189924	0.590097913040588	0.905871228338381	CPLM	1.01	58	37	36
CLEC2B	sex	male	0.395550313166982	0.731129480171486	0.590644564577675	0.905871228338381	CPLM	1.289	58	11	81
SRGAP3AS2	sex	male	-0.218361618167028	0.405376054485449	0.592253425176692	0.905871228338381	CPLM	1.291	58	20	66
KLF2	sex	male	-0.287411120402919	0.53052441878495	0.590140468420286	0.905871228338381	CPLM	1.276	58	13	78
MARCKS	sex	male	0.142434214383784	0.263869022713748	0.591481042182503	0.905871228338381	CPLM	1.301	58	41	29
EFCAB12	sex	male	-0.232793132178446	0.427887539821132	0.588565286099401	0.905871228338381	CPLM	1.252	58	18	69
INTU	sex	male	-0.275199105229607	0.508106527635702	0.590230909112153	0.905871228338381	CPLM	1.226	58	28	52
KLF9	sex	male	0.212427958659806	0.391350398579222	0.589416268431038	0.905871228338381	CPLM	1.143	58	21	64
AKNA	sex	male	-0.43853074651505	0.800581479072739	0.586029870016123	0.905871228338381	CPLM	1.21	58	23	60
SRSF3	sex	male	-0.150989985241441	0.279958129890492	0.591796749498626	0.905871228338381	CPLM	1.211	58	44	24
TMEM231	sex	male	-0.213185126199276	0.393701242861674	0.590318075749108	0.905871228338381	CPLM	1.34	58	24	59
NET1	sex	male	-0.12669920378488	0.23526316026613	0.592336962720545	0.905871228338381	CPLM	1.247	58	40	31
REEP3	sex	male	0.20192425785655	0.366956402323614	0.58432410862111	0.905871228338381	CPLM	1.01	58	34	41
C3orf58	sex	male	-0.298705496365899	0.551360326604024	0.590132348196269	0.905871228338381	CPLM	1.236	58	23	60
PTPRJ	sex	male	0.205868013465799	0.377484442156394	0.587666053472051	0.905871228338381	CPLM	1.181	58	18	69
TLE4	sex	male	0.163495339107684	0.301774375390242	0.590119272460529	0.905871228338381	CPLM	1.01	58	35	40
PDE4DIP	sex	male	0.176323551950904	0.323675147319596	0.588085177541852	0.905871228338381	CPLM	1.01	58	27	53
LMNA	sex	male	0.138827545865916	0.253452111866186	0.586042583421337	0.905871228338381	CPLM	1.235	58	37	36
CRIM1	sex	male	0.170080402227921	0.314259747584931	0.590509720381844	0.905871228338381	CPLM	1.212	58	32	45
SHANK2	sex	male	-0.306845539391699	0.558507607544755	0.584913527068735	0.905871228338381	CPLM	1.204	58	19	67
KDM4C	sex	male	-0.231949122512364	0.430427046236759	0.592104629568811	0.905871228338381	CPLM	1.01	58	20	66
CTSD	sex	male	0.127203475587397	0.236287525656023	0.592474479483596	0.905871228338381	CPLM	1.505	58	48	17
KIAA0586	sex	male	0.276087945659068	0.508671872452105	0.58944719200213	0.905871228338381	CPLM	1.237	58	18	69
CD74	sex	male	-0.196986970617623	0.366797753979126	0.593363898040426	0.906653996878564	CPLM	1.537	58	39	33
PLS3	sex	male	0.21227844263294	0.396645817534426	0.594641687907553	0.90745192779793	CPLM	1.411	58	25	57
SLC7A2	sex	male	-0.242990634626882	0.453814705899167	0.59446564379204	0.90745192779793	CPLM	1.45	58	22	62
SPPL2B	sex	male	-0.278769853988196	0.521808717391722	0.595291767411336	0.907867190680653	CPLM	1.33	58	31	47
KCNQ1OT1	sex	male	0.903711137468854	1.70795216712688	0.598813634863386	0.910924858101237	CPLM	1.37	58	16	72
SPAG8	sex	male	-0.264248312374273	0.499280021570285	0.598717830878394	0.910924858101237	CPLM	1.319	58	22	62
